Command,Arg1,Arg2,Arg3,Arg4,Arg5,Arg6,WaitType,Text,PageCtrl,Voice,WindowType

FadeOut,black,,,,,,,,,,
Bg,stage12,,Picture1,,,,,,,,
FadeOut,#00000068,,,,,,,,,,
StopBgm2,,,,,,,,,,,
StopBgs,,,,,,,,,,,
Wait,,,,,,1,,,,,
,,,,,,,,……,,,
Wait,,,,,,1,,,,,
,,,,,,,,……？,,,
Wait,,,,,,1,,,,,
,Actor04_03,,Character2,,,,,あれ、ワタシは……？,,,
Wait,,,,,,1,,,,,
,Actor04_04,,Character2,,,,,あ、そうでした……,,,
Balloon,Character2,1,,,,,,,,,
,Actor04_04,,Character2,,,,,ソラさん、いたら返事をして下さい！,,,
Wait,,,,,,1,,,,,
,,,,,,,,……,,,
Wait,,,,,,1,,,,,
,Actor04_04,,Character2,,,,,おかしいです……,,,
,Actor04_03,,Character2,,,,,真っ暗で何も見えません\nいったいどうして……？,,,
FadeIn,black,,,,,,,,,,
PlayBgm,ふろーずん風車,100,100,,,,,,,,
Wait,,,,,,1,,,,,
,Actor02_02,,Character2,,,,,噂は耳にしてたけど、こんな地下施設があるなんて\nさすがのあたしも知らなかったよ,,,
,Actor07_00,,Character2,,,,,ほんっと、悪趣味な趣味しているわ,,,
FadeOut,black,,,,,,,,,,
Balloon,Character2,2,,,,,,,,,
,Actor04_00,,Character2,,,,,え……、マリー？,,,
,Actor04_00,,Character2,,,,,どうして、マリーがここに？,,,
Wait,,,,,,1,,,,,
FadeIn,black,,,,,,,,,,
,Actor07_00,,Character2,,,,,あなたもさ\nそう思うでしょ？,,,
,Actor05_02,,Character0,,,,,わたしは、何だか怖くなってきてしまいました,,,
,Actor07_00,,Character2,,,,,あはは、何怖気づいちゃっているのよ,,,
FadeOut,black,,,,,,,,,,
,Actor04_03,,Character2,,,,,ワタシの声、届いていないのでしょうか……？,,,
,Actor04_03,,Character2,,,,,それに、どうして\nソラさんとシイナさんが？,,,
Wait,,,,,,1,,,,,
FadeIn,black,,,,,,,,,,
