Command,Arg1,Arg2,Arg3,Arg4,Arg5,Arg6,WaitType,Text,PageCtrl,Voice,WindowType

FadeOut,black,,,,,,,,,,
Bg,stage8,,Picture1,,,,,,,,
FadeOut,#00000068,,,,,,,,,,
StopBgm2,,,,,,,,,,,
PlayBgs,002-Wind02,100,100,,,,,,,,
Wait,,,,,,1,,,,,
,,,,,,,,……,,,
Wait,,,,,,1,,,,,
FadeIn,black,,,,,,,,,,
,Actor13_00,,Character2,,,,,……,,,
,Actor13_00,,Character2,,,,,あ、あれ？,,,
,Actor13_00,,Character2,,,,,どうして、アタシ一人なんだ……？,,,
PlaySe,step13a,80,100,,,,,,,,
Wait,,,,,,1,,,,,
,Actor13_00,,Character2,,,,,！,,,
,Actor13_00,,Character2,,,,,父はどこに……？,,,
PlaySe,step13a,80,100,,,,,,,,
Wait,,,,,,1,,,,,
,Actor13_00,,Character2,,,,,まさか、森ではぐれて！？,,,
PlaySe,step13a,80,100,,,,,,,,
Wait,,,,,,1,,,,,
,Actor13_00,,Character2,,,,,弱った、一人は……苦手なんだ,,,
PlaySe,step13a,80,100,,,,,,,,
Wait,,,,,,1,,,,,
,Actor13_00,,Character2,,,,,くっ……\n歩いても出口が見つからない,,,
,Actor13_00,,Character2,,,,,どうしたらいいんだ……,,,
FadeOut,black,,,,,,,,,,
Wait,,,,,,1,,,,,
FadeIn,black,,,,,,,,,,
,Actor13_00,,Character2,,,,,もう疲れた……,,,
,Actor13_00,,Character2,,,,,おなか、空いたな……,,,
PlaySe,Monster4,80,100,,,,,,,,
Wait,,,,,,1,,,,,
,Actor13_00,,Character2,,,,,！,,,
FadeOut,black,,,,,,,,,,
Bg,Dragon,,Picture2,,,,,,,,
Wait,,,,,,1,,,,,
FadeIn,black,,,,,,,,,,
,Actor13_00,,Character2,,,,,ド、ドラゴン……？,,,
,Actor13_00,,Character2,,,,,そ、そんな馬鹿な！？,,,
,Actor13_00,,Character2,,,,,お伽話で見たのと同じバケモノが\nどうして目の前に！？,,,
PlaySe,Monster5,80,100,,,,,,,,
