Command,Arg1,Arg2,Arg3,Arg4,Arg5,Arg6,WaitType,Text,PageCtrl,Voice,WindowType

Bg,stage13,,Picture1,,,,,,,,
FadeOut,#00000068,,,,,,,,,,
StopBgm2,,,,,,,,,,,
StopBgs,,,,,,,,,,,
,,,,,,,,……,,,
FadeIn,black,,,,,,,,,,
,,,,,,,,……,,,
,Actor05_03,,Character2,,,,,あ……れ……？,,,
FadeOut,black,,,,,,,,,,
,,,,,,,,……けて,,,
,Actor05_03,,Character2,,,,,え……？,,,
FadeIn,black,,,,,,,,,,
Wait,,,,,,1,,,,,
,,,,,,,,たす……けて……よ,,,
,,,,,,,,こんなの……、聞いてない！,,,
PlaySe,Crash,80,100,,,,,,,,
,,,,,,,,……！,,,
Wait,,,,,,1,,,,,
FadeOut,black,,,,,,,,,,
Bg,event6,,Picture1,,,,,,,,
FadeOut,#00000068,,,,,,,,,,
Wait,,,,,,1,,,,,
FadeIn,black,,,,,,,,,,
StopBgm2,,,,,,,,,,,
Wait,,,,,,1,,,,,
,Actor05_03,,Character2,,,,,……！,,,
Balloon,Character2,2,,,,,,,,,
,Actor05_03,,Character2,,,,,いまの……、夢……？,,,
PlaySe,Equip2,80,100,,,,,,,,
Wait,,,,,,1,,,,,
,Actor03_02,,Character0,,,,,シイナちゃんどうしたの、眠れない？,,,
,Actor05_00,,Character2,,,,,ごめんなさい\n起こしちゃいました,,,
,Actor03_03,,Character0,,,,,いや、寝付けなくて困ってたところだよ,,,
PlaySe,Equip3,80,100,,,,,,,,
Wait,,,,,,1,,,,,
,Actor03_00,,Character0,,,,,気晴らしに\n外に出てみようか？,,,
FadeOut,black,,,,,,,,,,
Bg,stage7,,Picture1,,,,,,,,
PlayBgm,Life within the Little Bottle (flashygoodness Remix),100,100,,,,,,,,
PlayBgs,River,100,100,,,,,,,,
FadeIn,black,,,,,,,,,,
,Actor05_00,,Character2,,,,,星が綺麗ですね,,,
,Actor03_00,,Character0,,,,,綺麗に輝いている\n空気が澄んでいるからかもしれないね,,,
,Actor03_03,,Character0,,,,,シイナちゃんは学校に戻りたい？,,,
,Actor05_00,,Character2,,,,,……,,,
Balloon,Character2,7,,,,,,,,,
,Actor05_02,,Character2,,,,,わからなくなってきちゃいました,,,
,Actor05_03,,Character2,,,,,自分の知らないところで\nいろんなものが動いてて,,,
,Actor05_00,,Character2,,,,,自分では何も決められなくて\nただ、今を生きるのがやっとです,,,
,Actor03_02,,Character0,,,,,ごめんね、シイナちゃん,,,
,Actor05_03,,Character2,,,,,……？,,,
,Actor05_00,,Character2,,,,,どうして、先生が謝るんですか,,,
,Actor03_03,,Character0,,,,,私達、大人がもっとしっかりしていれば\n良かったんだと思う,,,
,Actor03_03,,Character0,,,,,学校で起きたことも\n本当のこと言うと、後悔しているんだ,,,
Balloon,Character2,2,,,,,,,,,
,Actor05_03,,Character2,,,,,後悔ですか……？,,,
,Actor03_02,,Character0,,,,,ホールに集められた時\n大人だったのは私だけだった,,,
,Actor03_03,,Character0,,,,,だけど、その時、生徒たちを先導して\n行動することが私には出来なかった,,,
,Actor05_03,,Character2,,,,,それは、わたしも先生も\n逃げるのに必死だったからで……,,,
,Actor03_03,,Character0,,,,,それでも、生徒達に全部\n任せっきりだったことに変わりはない,,,
,Actor03_02,,Character0,,,,,今だって、エリシャやソラの云う通りに動くだけで\n私は逃げてばかり,,,
,Actor05_00,,Character2,,,,,そんなことはないです,,,
Balloon,Character2,9,,,,,,,,,
,Actor05_00,,Character2,,,,,リジェ先生は、わたしを\n助けてくれたじゃないですか,,,
,Actor05_00,,Character2,,,,,護ってくれると言ってくれて\nすごく、安心したんです,,,
,Actor05_02,,Character2,,,,,リジェ先生がいなかったら\n不安で押し潰されていたかもしれないです,,,
,Actor03_03,,Character0,,,,,本当に？,,,
,Actor05_01,,Character2,,,,,当然です,,,
Balloon,Character0,3,,,,,,,,,
,Actor03_00,,Character0,,,,,そっか……ありがとう、シイナちゃん,,,
Wait,,,,,,1,,,,,
,Actor05_02,,Character2,,,,,ただ、少しだけ\n家が……恋しくなってきました,,,
,Actor03_03,,Character0,,,,,シイナちゃんの家ってどの辺りだっけ？,,,
,Actor05_00,,Character2,,,,,私の家は、地図で言うと……,,,
PlaySe,Book2,80,100,,,,,,,,
Wait,,,,,,1,,,,,
,Actor05_00,,Character2,,,,,この辺です,,,
,Actor03_03,,Character0,,,,,なるほどね……,,,
,Actor03_00,,Character0,,,,,星と月の位置関係からすると\n今、私達がいるのはこの辺だから,,,
,Actor03_00,,Character0,,,,,私の生まれた島を経由すれば\n船で行けそうなところだね,,,
,Actor03_03,,Character0,,,,,船さえあれば、送れないこともないんだけど……,,,
